t_source [s],X [m],Y [m],Z [m],V [m/s],M_0 [-],F_n [N],TS [-],c_0 [m/s],T_0 [K],p_0 [Pa],rho_0 [kg/m3],mu_0 [kg/ms],I_0 [kg/m2s],alpha [deg],gamma [deg],Airframe LG [-],Airframe delta_f [deg],Airframe delta_s [deg]
33.0,-2875.886189374022,0.0,150.7188086558602,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
33.5,-2831.340695273628,0.0,148.38427823299273,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
34.0,-2786.795201173235,0.0,146.04974781012533,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
34.5,-2742.2497070728414,0.0,143.71521738725787,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
35.0,-2697.7042129724473,0.0,141.38068696439043,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
35.5,-2653.1587188720537,0.0,139.04615654152298,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
36.0,-2608.61322477166,0.0,136.71162611865554,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
36.5,-2564.0677306712664,0.0,134.37709569578809,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
37.0,-2519.522236570873,0.0,132.04256527292065,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
37.5,-2474.9767424704796,0.0,129.70803485005322,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
38.0,-2430.431248370086,0.0,127.3735044271858,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
38.5,-2385.8857542696924,0.0,125.03897400431833,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
39.0,-2341.3402601692987,0.0,122.7044435814509,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
